# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
2.685344e+01	5.850927e-26
2.691535e+01	5.892888e-26
2.697739e+01	5.928985e-26
2.703958e+01	5.965202e-26
2.710192e+01	6.001539e-26
2.716439e+01	6.037994e-26
2.722701e+01	6.080678e-26
2.728978e+01	6.117394e-26
2.735269e+01	6.154229e-26
2.741574e+01	6.197354e-26
2.747894e+01	6.234447e-26
2.754229e+01	6.271661e-26
2.760578e+01	6.315226e-26
2.766942e+01	6.352697e-26
2.773320e+01	6.390287e-26
2.779713e+01	6.434293e-26
2.786121e+01	6.472142e-26
2.792544e+01	6.516449e-26
2.798981e+01	6.554554e-26
2.805434e+01	6.592778e-26
2.811901e+01	6.637525e-26
2.818383e+01	6.676007e-26
2.824880e+01	6.721052e-26
2.831392e+01	6.759791e-26
2.837919e+01	6.805135e-26
2.844461e+01	6.844132e-26
2.851018e+01	6.889776e-26
2.857591e+01	6.935581e-26
2.864178e+01	6.974970e-26
2.870781e+01	7.021073e-26
2.877398e+01	7.060720e-26
2.884032e+01	7.107122e-26
2.890680e+01	7.153684e-26
2.897344e+01	7.193722e-26
2.904023e+01	7.240583e-26
2.910717e+01	7.287604e-26
2.917427e+01	7.328034e-26
2.924152e+01	7.375351e-26
2.930893e+01	7.422828e-26
2.937650e+01	7.470465e-26
2.944422e+01	7.511425e-26
2.951209e+01	7.559358e-26
2.958012e+01	7.607450e-26
2.964831e+01	7.655702e-26
2.971666e+01	7.704113e-26
2.978516e+01	7.752684e-26
2.985383e+01	7.794442e-26
2.992265e+01	7.843307e-26
2.999163e+01	7.892331e-26
3.006076e+01	7.941513e-26
3.013006e+01	7.990854e-26
3.019952e+01	8.040354e-26
3.026913e+01	8.090011e-26
3.033891e+01	8.139826e-26
3.040885e+01	8.189799e-26
3.047895e+01	8.239930e-26
3.054921e+01	8.290219e-26
3.061963e+01	8.340667e-26
3.069022e+01	8.391271e-26
3.076097e+01	8.442032e-26
3.083188e+01	8.492950e-26
3.090295e+01	8.544025e-26
3.097419e+01	8.595257e-26
3.104560e+01	8.654001e-26
3.111716e+01	8.705570e-26
3.118890e+01	8.757294e-26
3.126079e+01	8.809175e-26
3.133286e+01	8.861212e-26
3.140509e+01	8.920875e-26
3.147748e+01	8.973246e-26
3.155005e+01	9.025773e-26
3.162278e+01	9.078457e-26
3.169567e+01	9.138857e-26
3.176874e+01	9.191872e-26
3.184198e+01	9.245043e-26
3.191538e+01	9.306000e-26
3.198895e+01	9.359502e-26
3.206269e+01	9.413162e-26
3.213661e+01	9.474673e-26
3.221069e+01	9.528662e-26
3.228494e+01	9.582804e-26
3.235937e+01	9.644872e-26
3.243396e+01	9.699345e-26
3.250873e+01	9.761787e-26
3.258367e+01	9.816592e-26
3.265878e+01	9.879410e-26
3.273407e+01	9.934541e-26
3.280953e+01	9.997737e-26
3.288516e+01	1.006113e-25
3.296097e+01	1.011676e-25
3.303695e+01	1.018053e-25
3.311311e+01	1.023649e-25
3.318945e+01	1.030063e-25
3.326596e+01	1.036497e-25
3.334264e+01	1.042143e-25
3.341950e+01	1.048614e-25
3.349654e+01	1.055105e-25
3.357376e+01	1.060801e-25
