# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
2.376840e+01	1.593870e-26
2.382319e+01	1.600998e-26
2.387811e+01	1.609600e-26
2.393316e+01	1.616811e-26
2.398833e+01	1.625512e-26
2.404363e+01	1.632805e-26
2.409905e+01	1.641606e-26
2.415461e+01	1.648982e-26
2.421029e+01	1.657883e-26
2.426610e+01	1.666839e-26
2.432204e+01	1.674344e-26
2.437811e+01	1.683400e-26
2.443431e+01	1.690990e-26
2.449063e+01	1.700147e-26
2.454709e+01	1.709361e-26
2.460368e+01	1.717081e-26
2.466039e+01	1.726396e-26
2.471724e+01	1.735767e-26
2.477422e+01	1.743619e-26
2.483133e+01	1.753093e-26
2.488857e+01	1.762624e-26
2.494595e+01	1.772211e-26
2.500345e+01	1.780242e-26
2.506109e+01	1.789881e-26
2.511886e+01	1.799576e-26
2.517677e+01	1.809326e-26
2.523481e+01	1.817495e-26
2.529298e+01	1.827350e-26
2.535129e+01	1.837261e-26
2.540973e+01	1.847229e-26
2.546830e+01	1.857254e-26
2.552701e+01	1.867336e-26
2.558586e+01	1.877476e-26
2.564484e+01	1.885969e-26
2.570396e+01	1.896213e-26
2.576321e+01	1.906515e-26
2.582260e+01	1.916875e-26
2.588213e+01	1.927292e-26
2.594179e+01	1.937768e-26
2.600160e+01	1.948301e-26
2.606154e+01	1.958893e-26
2.612161e+01	1.969543e-26
2.618183e+01	1.980251e-26
2.624219e+01	1.991017e-26
2.630268e+01	2.001842e-26
2.636331e+01	2.012726e-26
2.642409e+01	2.023668e-26
2.648500e+01	2.036508e-26
2.654606e+01	2.047578e-26
2.660725e+01	2.058707e-26
2.666859e+01	2.069895e-26
2.673006e+01	2.081142e-26
2.679168e+01	2.092448e-26
2.685344e+01	2.103814e-26
2.691535e+01	2.117149e-26
2.697739e+01	2.128643e-26
2.703958e+01	2.140198e-26
2.710192e+01	2.151812e-26
2.716439e+01	2.163485e-26
2.722701e+01	2.177180e-26
2.728978e+01	2.188984e-26
2.735269e+01	2.200847e-26
2.741574e+01	2.214764e-26
2.747894e+01	2.226757e-26
2.754229e+01	2.238811e-26
2.760578e+01	2.252950e-26
2.766942e+01	2.265135e-26
2.773320e+01	2.277379e-26
2.779713e+01	2.291742e-26
2.786121e+01	2.304118e-26
