# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
4.197590e+01	1.244107e-25
4.207266e+01	1.251608e-25
4.216965e+01	1.259965e-25
4.226686e+01	1.268346e-25
4.236430e+01	1.275908e-25
4.246196e+01	1.284333e-25
4.255984e+01	1.292782e-25
4.265795e+01	1.301254e-25
4.275629e+01	1.309749e-25
4.285485e+01	1.317414e-25
4.295364e+01	1.325952e-25
4.305266e+01	1.334513e-25
4.315191e+01	1.343096e-25
4.325138e+01	1.351702e-25
4.335109e+01	1.360330e-25
4.345102e+01	1.368980e-25
4.355119e+01	1.377652e-25
4.365158e+01	1.386346e-25
4.375221e+01	1.395062e-25
4.385307e+01	1.403799e-25
4.395416e+01	1.412558e-25
4.405549e+01	1.422217e-25
4.415704e+01	1.431020e-25
4.425884e+01	1.439844e-25
4.436086e+01	1.448689e-25
4.446313e+01	1.457555e-25
4.456562e+01	1.467331e-25
4.466836e+01	1.476239e-25
4.477133e+01	1.485168e-25
4.487454e+01	1.494117e-25
4.497799e+01	1.503985e-25
4.508167e+01	1.512976e-25
4.518559e+01	1.522889e-25
4.528976e+01	1.531921e-25
4.539416e+01	1.540973e-25
4.549881e+01	1.550952e-25
4.560369e+01	1.560044e-25
4.570882e+01	1.570068e-25
4.581419e+01	1.579200e-25
4.591980e+01	1.589266e-25
4.602566e+01	1.599356e-25
4.613176e+01	1.608547e-25
4.623810e+01	1.618679e-25
4.634469e+01	1.627908e-25
4.645153e+01	1.638082e-25
4.655861e+01	1.648277e-25
4.666594e+01	1.658493e-25
4.677351e+01	1.667800e-25
4.688134e+01	1.678057e-25
4.698941e+01	1.688334e-25
4.709773e+01	1.698633e-25
4.720630e+01	1.708952e-25
4.731513e+01	1.719291e-25
4.742420e+01	1.728708e-25
4.753352e+01	1.739086e-25
4.764310e+01	1.749484e-25
4.775293e+01	1.759902e-25
4.786301e+01	1.770339e-25
4.797334e+01	1.780795e-25
4.808393e+01	1.791271e-25
4.819478e+01	1.801765e-25
4.830588e+01	1.813235e-25
4.841724e+01	1.823768e-25
4.852885e+01	1.834320e-25
4.864072e+01	1.844891e-25
4.875285e+01	1.855479e-25
4.886524e+01	1.867050e-25
4.897788e+01	1.877676e-25
4.909079e+01	1.888319e-25
4.920395e+01	1.898980e-25
4.931738e+01	1.910629e-25
4.943107e+01	1.921326e-25
4.954502e+01	1.933014e-25
4.965923e+01	1.943746e-25
4.977371e+01	1.954494e-25
4.988845e+01	1.966237e-25
5.000345e+01	1.977020e-25
5.011872e+01	1.988782e-25
5.023426e+01	1.999581e-25
5.035006e+01	2.011378e-25
5.046613e+01	2.023195e-25
5.058247e+01	2.034043e-25
5.069907e+01	2.045894e-25
5.081594e+01	2.057763e-25
