# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
6.295062e+01	1.105612e-25
6.309573e+01	1.110531e-25
6.324119e+01	1.115123e-25
6.338697e+01	1.120043e-25
6.353309e+01	1.124635e-25
6.367955e+01	1.129555e-25
6.382635e+01	1.134475e-25
6.397348e+01	1.139067e-25
6.412096e+01	1.143987e-25
6.426877e+01	1.148907e-25
6.441693e+01	1.153827e-25
6.456542e+01	1.158746e-25
6.471426e+01	1.163338e-25
6.486344e+01	1.168256e-25
6.501297e+01	1.173175e-25
6.516284e+01	1.178093e-25
6.531306e+01	1.183010e-25
6.546362e+01	1.187927e-25
6.561453e+01	1.192843e-25
6.576578e+01	1.198087e-25
6.591739e+01	1.203001e-25
6.606934e+01	1.207915e-25
6.622165e+01	1.212828e-25
6.637431e+01	1.217741e-25
6.652732e+01	1.222979e-25
6.668068e+01	1.227889e-25
6.683439e+01	1.232799e-25
6.698846e+01	1.238034e-25
6.714289e+01	1.242940e-25
6.729767e+01	1.248173e-25
6.745280e+01	1.253077e-25
6.760830e+01	1.258307e-25
6.776415e+01	1.263209e-25
6.792036e+01	1.268435e-25
6.807694e+01	1.273660e-25
6.823387e+01	1.278557e-25
6.839116e+01	1.283779e-25
6.854882e+01	1.288999e-25
6.870684e+01	1.294217e-25
6.886523e+01	1.299433e-25
6.902398e+01	1.304322e-25
6.918310e+01	1.309534e-25
6.934258e+01	1.314744e-25
6.950243e+01	1.319953e-25
6.966265e+01	1.325159e-25
6.982324e+01	1.330363e-25
6.998420e+01	1.335565e-25
7.014553e+01	1.341089e-25
7.030723e+01	1.346286e-25
7.046931e+01	1.351480e-25
7.063176e+01	1.356672e-25
7.079458e+01	1.361862e-25
7.095778e+01	1.367374e-25
7.112135e+01	1.372558e-25
7.128530e+01	1.378064e-25
7.144963e+01	1.383243e-25
7.161434e+01	1.388420e-25
7.177943e+01	1.393917e-25
7.194490e+01	1.399088e-25
7.211075e+01	1.404579e-25
7.227698e+01	1.410067e-25
7.244360e+01	1.415229e-25
7.261060e+01	1.420711e-25
7.277798e+01	1.426189e-25
7.294575e+01	1.431664e-25
7.311391e+01	1.436814e-25
7.328245e+01	1.442282e-25
