# log10(T[K])  Vol_PDF  Mass_PDF  Diff_emm  Den_pdf
4.944067955017089844e+00 2.409742300813719901e-02 7.840405637386892168e-02 4.047497681002659164e-01 1.890902621505194392e-02
4.950087547302246094e+00 2.463050841035624786e-02 8.604260269391324212e-02 5.076727320955936040e-01 2.200108137223686158e-02
4.956107139587402344e+00 2.072625546070373109e-02 7.298813816703697555e-02 4.679545885742676381e-01 2.000726298543133164e-02
4.962126255035400391e+00 2.324651547914748095e-02 7.765670373622088341e-02 5.254016235329459494e-01 2.082574627463761041e-02
4.968145370483398438e+00 2.344274645125899240e-02 8.195396945196352367e-02 4.425621406407517777e-01 2.108956068938568421e-02
4.974164962768554688e+00 2.551486907690829475e-02 7.448839766334719448e-02 4.253677811253379626e-01 1.922490690583321740e-02
4.980184555053710938e+00 2.016756756434742726e-02 6.784802172948677101e-02 3.739526987056905338e-01 1.666432904106622884e-02
4.986203670501708984e+00 2.439473400400756289e-02 6.834499825662135319e-02 3.240789829267639588e-01 1.504130439974307731e-02
4.992223262786865234e+00 2.559242989182938799e-02 7.584368039726019362e-02 3.920208017867367611e-01 1.715239341486685457e-02
4.998242378234863281e+00 2.469532529837457913e-02 7.355864745399016968e-02 4.381706138162695940e-01 1.996935363389816184e-02
5.004261970520019531e+00 2.832883278995166135e-02 7.395783125871721597e-02 4.837662996542628213e-01 1.966288722132265160e-02
5.010281562805175781e+00 2.562186306471541872e-02 7.272024734709466032e-02 3.609175752502231105e-01 1.668346244983573423e-02
5.016300678253173828e+00 2.637045049224231649e-02 7.190874347563627755e-02 3.793141077360001057e-01 1.533809029935210427e-02
5.022319793701171875e+00 2.971431382320505535e-02 7.241135274469436001e-02 4.065458540396674758e-01 1.503142106183386062e-02
5.028339385986328125e+00 2.752983675385164281e-02 7.152813735296968678e-02 3.534731220215137082e-01 1.612667781695171013e-02
5.034358978271484375e+00 2.616468251870335271e-02 6.959071947719540352e-02 2.693442354742746070e-01 1.333446137696045822e-02
5.040378093719482422e+00 2.957349965011656784e-02 7.016143518916016786e-02 3.163515064649665143e-01 1.427230903750566736e-02
5.046397209167480469e+00 2.594361175809205278e-02 6.691880511776956975e-02 2.963172226519195651e-01 1.313746985923680381e-02
5.052416801452636719e+00 2.538963424927908469e-02 7.071755303235084666e-02 3.152200753595858496e-01 1.450775275391468812e-02
5.058436393737792969e+00 3.072099161187300670e-02 7.064164914702127096e-02 2.914186238068007251e-01 1.427241789873706992e-02
5.064455509185791016e+00 2.894858267342904912e-02 6.664281014199412156e-02 2.504229592997376241e-01 1.157224921333095680e-02
5.070474624633789062e+00 3.143069344768011780e-02 7.429962853167965120e-02 3.354606561271659682e-01 1.468627702346831168e-02
5.076494216918945312e+00 3.680019228112254431e-02 8.001417894811214959e-02 2.648037492277025562e-01 1.361160423809118850e-02
5.082513809204101562e+00 3.059550322152697691e-02 7.158366235497518049e-02 2.847934166667632216e-01 1.345422309864036277e-02
